"Origin","Target","Type","Format"
"/news/15-down-and-dirty-ways-to-get-green-now","/perspectives/15-down-and-dirty-ways-to-get-green-now",301,"plain"
"/news/how-cognitive-tech-can-prevent-a-food-crisis","/perspectives/how-cognitive-tech-can-prevent-a-food-crisis",301,"plain"
"/news/how-cognitive-technologies-can-help-managers-during-the-covid-19-crisis","/perspectives/how-cognitive-technologies-can-help-managers-during-the-covid-19-crisis",301,"plain"
"/news/conquering-the-endless-quest-for-supply-chain-visibility","/perspectives/conquering-the-endless-quest-for-supply-chain-visibility",301,"plain"
"/news/covid-19-crisis-shows-supply-chains-need-to-embrace-new-technologies","/perspectives/covid-19-crisis-shows-supply-chains-need-to-embrace-new-technologies",301,"plain"
"/news/whats-next-after-digitization","/",301,"plain"
"/news/aera-unveils-cognitive-operating-system-worlds-first-cloud-platform-for-cognitive-automation","/",301,"plain"
"/news/plan-adapt-survive-the-case-for-cognitive-automation-in-a-time-of-crisis","/",301,"plain"
"/news/cognitive-automation-helps-processes-run-on-their-own","/",301,"plain"
"/news/aera-launches-cognitive-business-brain-operating-system","/",301,"plain"
"/news/automation-as-self-driving-glass-box","/",301,"plain"
"/news/this-will-impact-the-way-work-is-being-done","/",301,"plain"
"/news/rise-of-the-cognitive-enterprise-in-a-post-digital-transformation-world","/",301,"plain"
"/news/push-is-on-for-more-artificial-intelligence-in-supply-chains","/",301,"plain"
"/announcements/transform-fest-2022-the-global-supply-chain-transformation-event","/news/transform-fest-2022-the-global-supply-chain-transformation-event",301,"plain"
"/announcements/aera-technology-named-a-procuretech100-company","/news/aera-technology-named-a-procuretech100-company",301,"plain"
"/announcements/aera-technology-debuts-aera-decision-cloud","/news/aera-technology-debuts-aera-decision-cloud",301,"plain"
"/announcements/aera-technology-debuts-webinar-series-on-decision-intelligence","/news/aera-technology-debuts-webinar-series-on-decision-intelligence",301,"plain"
"/announcements/aera-technology-showcases-cognitive-automation-in-action","/news/aera-technology-showcases-cognitive-automation-in-action",301,"plain"
"/announcements/aera-technology-selected-by-world-economic-forum-as-a-global-innovator","/news/aera-technology-selected-by-world-economic-forum-as-a-global-innovator",301,"plain"
"/announcements/aera-technology-named-to-constellation-shortlist-for-ai-driven-cognitive-applications","/news/aera-technology-named-to-constellation-shortlist-for-ai-driven-cognitive-applications",301,"plain"
"/announcements/aera-technology-appoints-pascal-bornet-as-chief-data-officer","/news/aera-technology-appoints-pascal-bornet-as-chief-data-officer",301,"plain"
"/announcements/aera-technology-to-integrate-microsoft-azure-digital-twins-with-aera-cognitive-operating-system","/news/aera-technology-to-integrate-microsoft-azure-digital-twins-with-aera-cognitive-operating-system",301,"plain"
"/announcements/bristlecone-and-aera-partnership-accelerates-the-journey-to-the-cognitive-supply-chain","/news/bristlecone-and-aera-partnership-accelerates-the-journey-to-the-cognitive-supply-chain",301,"plain"
"/announcements/kearney-partners-with-aera-technology-to-drive-agility-and-resilience-in-supply-chains","/news/kearney-partners-with-aera-technology-to-drive-agility-and-resilience-in-supply-chains",301,"plain"
"/announcements/aera-technology-announces-the-general-release-of-its-cognitive-operating-system-at-global-customer-summit","/news/aera-technology-announces-the-general-release-of-its-cognitive-operating-system-at-global-customer-summit",301,"plain"
"/announcements/aera-technology-named-a-representative-vendor-in-the-gartner-market-guide-for-analytics-and-decision-intelligence-platforms-in-supply-chain","/news/aera-technology-named-a-representative-vendor-in-the-gartner-market-guide-for-analytics-and-decision-intelligence-platforms-in-supply-chain",301,"plain"
"/announcements/aera-technology-recognized-as-a-2023-green-technology-partner-for-supply-chains","/news/aera-technology-recognized-as-a-2023-green-technology-partner-for-supply-chains",301,"plain"
"/announcements/aera-technology-to-deploy-decision-intelligence-at-colgate-palmolive","/news/aera-technology-to-deploy-decision-intelligence-at-colgate-palmolive",301,"plain"
"/announcements/worlds-largest-tequila-producer-partners-with-aera-technology-to-deploy-decision-intelligence","/news/worlds-largest-tequila-producer-partners-with-aera-technology-to-deploy-decision-intelligence",301,"plain"
"/announcements/worlds-leading-tofu-producer-partners-with-aera-technology-to-deploy-decision-intelligence","/news/worlds-leading-tofu-producer-partners-with-aera-technology-to-deploy-decision-intelligence",301,"plain"
"/announcements/aera-technology-named-a-2022-cnbc-top-startup-for-the-enterprise","/news/aera-technology-named-a-2022-cnbc-top-startup-for-the-enterprise",301,"plain"
"/announcements/aera-technology-recognized-as-one-of-50-providers-to-watch-by-spend-matters","/news/aera-technology-recognized-as-one-of-50-providers-to-watch-by-spend-matters",301,"plain"
"/announcements/sustainable-steel-producer-deacero-chooses-aera-decision-cloud-to-automate-decision-making-and-create-customer-centric-business","/news/sustainable-steel-producer-deacero-chooses-aera-decision-cloud-to-automate-decision-making-and-create-customer-centric-business",301,"plain"
"/announcements/aera-technology-named-a-100-great-supply-chain-partner","/news/aera-technology-named-a-100-great-supply-chain-partner",301,"plain"
"/announcements/aera-technology-wins-ai-breakthrough-award-for-decision-intelligence-innovation","/news/aera-technology-wins-ai-breakthrough-award-for-decision-intelligence-innovation",301,"plain"
"/announcements/aera-technology-releases-new-capabilities-to-accelerate-decision-intelligence-adoption","/news/aera-technology-releases-new-capabilities-to-accelerate-decision-intelligence-adoption",301,"plain"
"/announcements/aera-technology-to-present-at-gartner-supply-chain-symposium-xpo-2022","/news/aera-technology-to-present-at-gartner-supply-chain-symposium-xpo-2022",301,"plain"
"/announcements/ey-announces-alliance-with-aera-technology-to-unlock-the-power-of-decision-intelligence-in-supply-chain-transformation","/news/ey-announces-alliance-with-aera-technology-to-unlock-the-power-of-decision-intelligence-in-supply-chain-transformation",301,"plain"
"/announcements/aera-technology-named-winner-in-2022-artificial-intelligence-excellence-awards","/news/aera-technology-named-winner-in-2022-artificial-intelligence-excellence-awards",301,"plain"
"/announcements/aera-technology-to-present-at-gartner-supply-chain-symposium-xpo-2022-in-london","/resources",301,"plain"
"/announcements/leading-market-research-firm-finds-75percent-of-enterprises-expect-to-gain-significant-benefits-from-ai-enabled-decision-intelligence","/news/leading-market-research-firm-finds-75percent-of-enterprises-expect-to-gain-significant-benefits-from-ai-enabled-decision-intelligence",301,"plain"
"/announcements/aera-technology-recognized-once-again-as-one-of-50-providers-to-watch-by-spend-matters-adds-to-aera-procurement-skills","/news/aera-technology-recognized-once-again-as-one-of-50-providers-to-watch-by-spend-matters-adds-to-aera-procurement-skills",301,"plain"
"/news","/resources",301,"plain"
"/events-webinars","/resources",301,"plain"
"/webinar","/webinars",301,"plain"
"/aera-in-action","/resources",301,"plain"
"/aera-forecast","/skills",301,"plain"
"/aera-promotions","/skills",301,"plain"
"/aera-order","/skills/order",301,"plain"
"/aera-inventory","/skills/inventory",301,"plain"
"/aera-logistics","/skills/logistics",301,"plain"
"/aera-procurement","/skills/procurement",301,"plain"
"/aera-digital-control-tower","/skills/controltower",301,"plain"
"/product-release","/",301,"plain"
"/aerahub","/aerahub-2025",301,"plain"
"/gartner-magic-quadrant","/gartner-magic-quadrant-decision-intelligence-leader",301,"plain"
"/aera-community","/",301,"plain"
"/cognitive-automation","/",301,"plain"
"/fred-laluyaux","/",301,"plain"
"/add-aera-technologys-cognitive-decision-board-to-your-team","/page/add-aera-technologys-cognitive-decision-board-to-your-team",301,"plain"
"/ccpa-candidate-privacy-notice","/page/ccpa-candidate-privacy-notice",301,"plain"
"/gdpr-european-candidates","/page/gdpr-european-candidates",301,"plain"
"/spotlight-report-striving-toward-self-driving-supply-chains","/page/spotlight-report-striving-toward-self-driving-supply-chains",301,"plain"
"/page/spotlight-report-striving-toward-self-driving-supply-chains","/",301,"plain"
"/introducing-aeras-cognitive-technology-enabling-the-self-driving-enterprise","/page/introducing-aeras-cognitive-technology-enabling-the-self-driving-enterprise",301,"plain"
"/ai-in-supply-chain-separating-hype-from-reality","/page/ai-in-supply-chain-separating-hype-from-reality",301,"plain"
"/cognitive_automation","/page/cognitive_automation",301,"plain"
"/selfdrivingsupplychain_webcast_offer","/page/selfdrivingsupplychain_webcast_offer",301,"plain"
"/terms-and-conditions","/page/terms-and-conditions",301,"plain"
"/artificial_intelligence_tech","/page/artificial_intelligence_tech",301,"plain"
"/AI-and-the-future-of-decisions","/page/AI-and-the-future-of-decisions",301,"plain"
"/practical-steps-to-getting-started-with-supply-chain-ai","/page/practical-steps-to-getting-started-with-supply-chain-ai",301,"plain"
"/striving-towards-self-driving-supply-chains","/page/striving-towards-self-driving-supply-chains",301,"plain"
"/aera-technology-turns-data-into-decisions-and-actions","/page/aera-technology-turns-data-into-decisions-and-actions",301,"plain"
"/privacy-shield-policy","/page/privacy-shield-policy",301,"plain"
"/aera-security-and-privacy-documentation","/page/aera-security-and-privacy-documentation",301,"plain"
"/pflichtangaben-mandatory-disclosure-statements","/page/pflichtangaben-mandatory-disclosure-statements",301,"plain"
"/imagining-the-self-driving-enterprise","/page/imagining-the-self-driving-enterprise",301,"plain"
"/page/msa/v2021.1","/page/msa-v2021.1",301,"plain"
"/search-voice-mobile","/decision-engagement",301,"plain"
"/cognitive-data-layer","/decision-data-model",301,"plain"
"/analytics","/aera-discovery",301,"plain"
"/modeling","/simulation-and-planning",301,"plain"
"/automation-rules","/business-rules",301,"plain"
"/write-backs","/",301,"plain"
"/actions","/",301,"plain"
"/cognitive-decision-board","/decision-board",301,"plain"
"/cognitive-workbench","/decision-workbench",301,"plain"
"/ui-voice-builder","/",301,"plain"
"/data-science","/",301,"plain"
"/data-streams","/",301,"plain"
"/customer/deacero","/case-study/deacero",301,"plain"
"/customer/fmcg1","/case-study/fmcg1",301,"plain"
"/customer/gstco","/case-study/gstco",301,"plain"
"/customer/petrochemical","/case-study/petrochemical",301,"plain"
"/customer/ahp1","/case-study/ahp1",301,"plain"
"/customer/fmcg2","/case-study/fmcg2",301,"plain"
"/customer/pharmaceutical","/case-study/pharmaceutical",301,"plain"
"/customer/fmcg3","/case-study/fmcg3",301,"plain"
"/customer/ahp2","/case-study/ahp2",301,"plain"
"/agentic-AI","/agentic-ambient-orchestration",301,"plain"
"/business-rules","/aera-decision-cloud",301,"plain"
"/simulation-and-planning","/aera-decision-cloud",301,"plain"
"/data-crawlers","/aera-decision-cloud",301,"plain"
"/decision-cloud","/aera-decision-cloud",301,"plain"
"/aera-developer","/aera-decision-cloud",301,"plain"
"/test-drive","/demo",301,"plain"
"/skills","/skills/",301,"plain"
"/skills/order","/skills/order/",301,"plain"
"/skills/inventory","/skills/inventory/",301,"plain"
"/skills/logistics","/skills/logistics/",301,"plain"
"/skills/procurement","/skills/procurement/",301,"plain"
"/skills/controltower","/skills/controltower/",301,"plain"
